time	signal_A	signal_B
0.0	0.000000000	1.000000000
0.1	0.309016994	0.951056516
0.2	0.587785252	0.809016994
0.3	0.809016994	0.587785252
0.4	0.951056516	0.309016994
0.5	1.000000000	0.000000000
0.6	0.951056516	-0.309016994
0.7	0.809016994	-0.587785252
0.8	0.587785252	-0.809016994
0.9	0.309016994	-0.951056516
1.0	0.000000000	-1.000000000
1.1	-0.309016994	-0.951056516
1.2	-0.587785252	-0.809016994
1.3	-0.809016994	-0.587785252
1.4	-0.951056516	-0.309016994
1.5	-1.000000000	0.000000000
1.6	-0.951056516	0.309016994
1.7	-0.809016994	0.587785252
1.8	-0.587785252	0.809016994
1.9	-0.309016994	0.951056516
2.0	0.000000000	1.000000000
2.1	0.309016994	0.951056516
2.2	0.587785252	0.809016994
2.3	0.809016994	0.587785252
2.4	0.951056516	0.309016994
2.5	1.000000000	0.000000000
2.6	0.951056516	-0.309016994
2.7	0.809016994	-0.587785252
2.8	0.587785252	-0.809016994
2.9	0.309016994	-0.951056516
3.0	0.000000000	-1.00000000
3.1	-0.309016994	-0.951056516
3.2	-0.587785252	-0.809016994
3.3	-0.809016994	-0.587785252
3.4	-0.951056516	-0.309016994
3.5	-1.000000000	0.000000000
3.6	-0.951056516	0.309016994
3.7	-0.809016994	0.587785252
3.8	-0.587785252	0.809016994
3.9	-0.309016994	0.951056516
4.0	0.000000000	1.00000000
4.1	0.309016994	0.951056516
4.2	0.587785252	0.809016994
4.3	0.809016994	0.587785252
4.4	0.951056516	0.309016994
4.5	1.000000000	0.000000000
4.6	0.951056516	-0.309016994
4.7	0.809016994	-0.587785252
4.8	0.587785252	-0.809016994
4.9	0.309016994	-0.951056516
5.0	0.000000000	-1.00000000
